,Número de Noticia,Despacho,Delito,Hechos,DELITO O NO ,Fecha Hechos,Lugar Hechos,Nombre,No. Documento,Modalidad,Modo,Indiciados,Tipo Diligencia,Etapa,Grado Delito,Priorizado,Tipo Noticia,Número de Noticia Limpio
0,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-BrzKFC,0,2025-04-29 22:26:29,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",HAROL STEVEN REY OVALLE,'1030536697',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES INSTAGRAM,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,DE OFICIO (INFORMES),-9223372036854775808
1,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-KxcQPk,0,2025-03-23 22:57:29,"Antioquia, MEDELLÍN - Calle 49 37 79, Bomboná No. 1, Medellín, Antioquia, COL,BOMBONA 1",NORELA DE JESUS ROLDAN CARO,'1036948639',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
2,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA AGRAVADA CUANDO LA ESTAFA SE REALICE POR INDUCCION A ERROR ART. 247 C.P. N.2,sdv-id-Abajmy,0,2025-03-28 06:08:30,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",HAROL STEVEN REY OVALLE,,ACUERDO COMERCIAL,PERSONAL SUPLANTACIÓN,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,AGRAVADO,NO,QUERELLA,-9223372036854775808
3,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-eRoCFq,0,2025-02-06 02:07:44,"Antioquia, MEDELLÍN - Calle 42 67 33, San Joaquín, Medellín, Antioquia, COL,SAN JOAQUÍN",,'1000638877',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
4,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-EGkmkz,0,2025-02-02 19:32:46,"Antioquia, MEDELLÍN - Calle 30, Belén, Medellín, Antioquia, COL,BELÉN",ESTEBAN GIRALDO VILLARREAL,'6788198',VENTA,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
5,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-DhauFd,0,2025-04-11 13:43:36,"Antioquia, MEDELLÍN - Calle 30A, San Pablo, Medellín, Antioquia, COL,SAN PABLO",DEBRA CARREÑO,'155337431',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
6,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-YUUPLW,1,2025-02-02 02:45:22,"Antioquia, MEDELLÍN - Carrera 89 92C 64, Picacho, Medellín, Antioquia, COL,AURES 2",YELSIN BERRIO GIRALDO,'1014207847',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
7,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-ivYHdD,0,2025-08-16 08:39:06,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",YENIFER ANDREA ALZATE ATEHORTUA,'1030536697',VENTA,PERSONAL SUPLANTACIÓN,0,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,DE OFICIO (INFORMES),-9223372036854775808
8,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA AGRAVADA CUANDO LA ESTAFA SE REALICE POR INDUCCION A ERROR ART. 247 C.P. N.2,sdv-id-wkEqpk,0,2025-02-05 12:56:06,"Antioquia, MEDELLÍN - Calle 42 67 33, San Joaquín, Medellín, Antioquia, COL,SAN JOAQUÍN",ESTEBAN VILLEGAS ECHEVERRY,'1036948639',TRÁMITES ADMINISTRATIVOS,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
9,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-AdjZCF,0,2025-02-02 13:43:37,"Antioquia, MEDELLÍN - Carrera 89 92C 64, Picacho, Medellín, Antioquia, COL,AURES 2",ANGÉLICA MARIA ZABALA SALCEDO,'1014207847',VENTA,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,DE OFICIO (INFORMES),-9223372036854775808
10,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-TjjAIS,1,2025-02-02 03:40:06,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",HAROL STEVEN REY OVALLE,'1000638877',CONTRACTUAL,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
11,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-xpWNtH,0,2025-03-11 04:04:23,"Antioquia, MEDELLÍN - Calle 30, Belén, Medellín, Antioquia, COL,BELÉN",ESTEBAN GIRALDO VILLARREAL,'155337431',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,AGRAVADO,NO,QUERELLA,-9223372036854775808
12,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-fZyjnU,0,2025-04-02 13:17:34,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",YENIFER ANDREA ALZATE ATEHORTUA,'1030536697',ACUERDO COMERCIAL,PERSONAL SUPLANTACIÓN,1,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
13,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-Vcexcc,0,2025-02-22 08:16:55,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",HAROL STEVEN REY OVALLE,,PRÉSTAMO DE DINERO,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
14,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-oAoFow,1,2025-02-02 02:45:03,"Antioquia, MEDELLÍN - Calle 30, Belén, Medellín, Antioquia, COL,BELÉN",ESTEBAN GIRALDO VILLARREAL,'1036948639',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHISPER,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
15,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-TVnOvU,0,2025-02-02 02:45:00,"Antioquia, MEDELLÍN - ",YELSIN BERRIO GIRALDO,'112418077',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES FACEBOOK,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
16,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-pGmavK,0,2025-03-10 08:39:25,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",HAROL STEVEN REY OVALLE,'1030536697',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
17,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-zzBHJR,0,2025-02-15 04:56:31,"Antioquia, MEDELLÍN - Calle 42 67 33, San Joaquín, Medellín, Antioquia, COL,SAN JOAQUÍN",DEBRA CARREÑO,'1088328101',ACUERDO COMERCIAL,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
18,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-kGkdkV,0,2025-02-07 00:53:26,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",MAIKEL MOTATO HERNANDEZ,'0017202474',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
