Número de Noticia,Ley de Aplicabilidad,Despacho,Fecha y hora de asignación,Delito,Hechos,DELITO O NO ,Fecha Hechos,Lugar Hechos,Tipo de Interviniente,Nombre,No. Documento,Dirección,Correo,Caracterización,Modalidad,Modo,Indiciados,Detenido ?,Tipo Diligencia,Etapa,Grado Delito,Priorizado,Estado Caso,Tipo Noticia,Usuario,Fuero
'050016099166202521686','Ley 906,111,2025-06-03 03:02:10,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? El día 15 DE FEBRERO DE 2025 hice compra del soat de la motocicleta con placa zxw03f a través de una página llamada seguros del estado, se efectuó el pago a través de pago pse, me enviaron el documento con características propias del vehículo. Sin embargo 29 días después me llegó un comparendo por no portar el soat del vehículo. Al verificar en la página del tránsito y efectivamente no estaba activo el soat de la motocicleta. 2025050201835",1.0,2025-02-16 03:31:00,"Antioquia, MEDELLÍN - Carrera 89 92C 64, Picacho, Medellín, Antioquia, COL,AURES 2",VICTIMA,ANGÉLICA MARIA ZABALA SALCEDO,'1014207847',,anmazas1516@gmail.com,OFRECIMIENTO DE SERVICIOS,TRÁMITES ADMINISTRATIVOS,PÁGINAS WEB GOOGLE,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,PARODRIGUEZ,
'050016000248202526744','Ley 906,111,2025-06-03 03:56:17,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? Pagué para realizar un curso envié el dinero y al final quedaron de enviar los respectivos link de ingreso pero actualmente me bloquearon, aparte de que trate de contactarme de otro número y lo que me dijeron que era una estafa y que no era la primera ni iba hacer la última, cuando dije que iba a denunciar dijeron que no fuera ridículo que nunca pasaba nada con esas denuncias",,2025-03-19 04:21:00,"Antioquia, MEDELLÍN - Medellín, Antioquia, COL,CORAZÓN DE JESÚS",DENUNCIANTE,SANDY PAOLA RAMOS CORREA,'1003065533',,oneydelcarmen@gmail.com,OFRECIMIENTO DE SERVICIOS,OFERTA EDUCATIVA,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202527036','Ley 906,111,2025-06-03 03:59:44,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? Se comunica al centro de contacto de la Fiscalía General de la Nación el señor Yelsin Berrio Giraldo, de 33 años, con el fin de reportar los siguientes hechos: ""El día 15 de marzo de 2025, a las 09:16 am, recibí un mensaje del numero 3172404631, el cual pertenece al señor Angel Jaimes, quien es el mecánico de mi motocicleta, me escribió que si le podía prestar 150.000, que me los daba en la noche, yo le dije que no tenia dinero, me rogo y me dijo que lo desembalara, que tenia que pagar una droga en Venezuela, finalmente me convenció y le envié 100.000, ese mismo día, a las 08:16 am, enviado a un Nequi numero 3202451387, a nombre de Arnulfo Herrera, después de que yo envié el dinero, no me volvió a responder mas, me lo encontré el domingo y le reclame por mi dinero, el me respondió que el no me había escrito nada, que no tenia idea de lo que yo le estaba diciéndome, no se si esto sea cierto pero fue lo que el me dijo. No deseo agregar nada más a la denuncia. Relato tomado por el C.C. Por la Agente Carol Daniela Meneses.",1.0,2025-03-15 02:16:00,"Antioquia, MEDELLÍN - ",VICTIMA,YELSIN BERRIO GIRALDO,'1152439128',,yelsin2010@hotmail.com,OTROS,SIMULACIÓN DE PERFILES POR RED SOCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202531469','Ley 906,111,2025-06-03 04:30:17,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? EL DIA 2 DE FEBRERO 2025 AL 25 DE MARZO 2025 en comunicación por Instagram.com/aviajarcolombia, esta agencia de viaje me estafo para un viaje para santa marta DEL 4 AL 7 DE ABRIL DEL PRESENTE AÑO el cual pague en su totalidad 2.521.000 y esta agencia cuando los llamo me cuelgan el teléfono 3003166789. esta es su página web https://aviajarcolombia.com tengo los comprobantes de pago la verificación en el registro nacional de turismo, este es el NIT 901631993-4.",,2025-02-02 02:45:00,"Antioquia, MEDELLÍN - Medellín, Antioquia, COL,CORAZÓN DE JESÚS",DENUNCIANTE,LIBIA DEL CARMEN MURILLO RENTERIA,'112418077',,murillo0724@gmail.com,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES INSTAGRAM,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202525524','Ley 906,111,2025-06-03 09:24:42,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? Se comunica al centro de contacto de la Fiscalía General de la Nación la usuaria Ricmar Valentina Vilchez Vasquez de 22 años, con el fin de reportar hechos de los que fue víctima por parte de personas desconocidas. La usuaria refiere lo siguiente: ¿El día 20/02/2025 a eso de las 07:22 pm, busqué por Facebook un televisor y encontré una pagina llamada electrodomésticos J y M, apenas ingresé a la pagina, me dirigieron a un WhatsApp (3122078747), al ingresar me atendió un tal Nelson Julián Gonzalez. Él fue quien me dio la información de lo que estaba buscando y me ofreció un televisor de 32 pulgadas en $300.000, entonces él me dijo que tenía que consignar el dinero del envió en Servientrega que era un total de $49.900 y que el resto de dinero lo pagaba cuando me llegara el pedido al día siguiente. El día 21/02/2025 a eso de las 12:00 pm le consigne el dinero solicitado al sujeto al Bancolombia a la mano número 03216258217, el cual registró a nombre de Diomedes Gonzalez, el que me estaba atendiendo me dijo que ese número era el de su jefe, consigne y envíe el comprobante. El mismo día me contactaron desde un número que decía Servientrega (3216258217 por WhatsApp) y me dijeron que como ya iban llegando yo tenía que enviar el dinero del electrodoméstico, o si no iban a revertir el pedido, les dije que cuando hice el pedido esta decía que era de pago era contra entrega; esa persona que me estaba atendiendo me dijo que no me podía recibir dinero en efectivo, por lo que yo tenía que pagar el dinero a la empresa de la compra. Llamé a Nelson y le pregunté, él me dijo que pagara todo y que eso iba a salir bien, entonces le consigne a la misma cuenta la suma de $300.000. Él me envió una factura de pago y esta se la envié a Servientrega. A los minutos me llamó Nelson diciendo que se había equivocado en el precio del televisor y que este no valía $300.000 sino que costaba $500.000, entonces que por su error el jefe lo había regañado, pero que como era su error supuestamente me iba a ayudar con $100.000, entonces que consignara solo otros $100.000 y me entregaban el pedido, le dije a este sujeto que no tenia mas dinero, pero él me dijo que buscará, que le hiciera el favor, porque iba a perder su trabajo por mi culpa. Le dije al señor que me devolviera el dinero y que no pasaba nada, el sujeto me dijo que yo era una grosera porque me estaba colaborando y yo no le quería ayudar, me insistió, le dije que no tenía más dinero y después de un rato le dije que yo creía ellos eran unos estafadores por lo que los iba denunciar y dejaron de contestarme.¿Caso recepcionado por el centro de contacto Agente A.C. Rodríguez.",,2025-02-21 05:00:00,"Antioquia, MEDELLÍN - Calle 1 82 230, Altavista Sector Central, Medellín, Antioquia, COL,EL RINCÓN",DENUNCIANTE,RICMAR VALENTINA VILCHEZ VASQUEZ,'6788198',,vilchezricmar35@gmail.com,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES FACEBOOK,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202525546','Ley 906,111,2025-06-03 09:27:23,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? Hice una compra por 1.410.000 pesos colombianos por la compra de una entradas, por medio de la empresa INNOVATION TICKETS SAS contactamos por medio de la pagina de Instagram innovationticketsofical https://www.instagram.com/innovationticketsoficial ?igsh=d2hjOWFlZ2gycmFoyutm source=qr contactdome por whatssap al numero 311 7400724 hablando directamente con ellos, me enviaron cámara y comercio de la empresa INNOVATION TICKETS SAS. NIT 901294736 la cual esta activa y operando validaciones que hice por medio de las paginas de la DIAN y otras, Me envián los datos del numero de cuenta de bancolombia ahorros a nombre de Beatriz Elena Castañeda numero13013873477. Una vea hice la trasferencia no volvieron a contestar, pero siguen apostando en la cuenta de Instagram, genere contactos desde otros numero y siguen enviando el mismo numero de cuenta de bancolombia y los mismo datos de la empresa que opera como INNOVATION TICKETS SAS. Publican muchas trasferencia generadas incluida la mía, indicando que son clientes satisfechos, pero al momento de generar la trasferencia no responden mas.",,2025-02-07 10:05:00,"Antioquia, MEDELLÍN - Carrera 28 29 145, Loreto, Medellín, Antioquia, COL,LORETO",VICTIMA,NATALIA HENAO OSORIO,'43641450',,nataliahenaoosorio9@gmail.com,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,,INDAGACION EN AVERIGUACION P.A.,INDAGACIÓN,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202525682','Ley 906,111,2025-06-03 09:44:20,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? Me pidieron un anticipo por un inmueble el cual envié al siguiente número de cuenta 03163711031 qué corresponde a la señora Omaira Teresa Garrido Moreno, el monto consignado fue por un valor de 250.000, el contacto siempre lo tuve por WhatsApp en el siguiente número +57 316 3507815, la señora estaba registrada como mariluz Monsalve",,2025-03-25 12:22:00,"Antioquia, MEDELLÍN - Calle 30, Belén, Medellín, Antioquia, COL,BELÉN",VICTIMA,JIMENA GUTIERREZ JURADO,'1001772625',,jimenita20022016@gmail.com,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202528819','Ley 906,111,2025-06-03 10:27:53,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? Se comunica el señor Mitchell Stark, identificado con pasaporte N°. 587457746, para realizar el reporte de unos hechos de los cuales fue víctima: "" El día 12/02/2025 a las 10:00 PM , me encontraba hablando con Mikhail Amaro, por medio de whatsapp a su numero +13029184972, me encontraba hablando acerca de unos tickets para un vuelo de Miami a Medellín en un avión privado, el me brindo la información acerca del vuelo me dijo que tenia un costo 26.641,93 Usd, yo realice el pago esa misma noche por medio de Bitcoin, tengo el ID reference de la transacción el cual es ID 41FB4DD537063D38DB28FA4B54CF8A9B0DA6EB434445F76C75C0141B46C29A35, el valor de 26.641,93 Usd. El vuelo se compró para el 14/02/2025 para las 9AM de Miami. yo espere el vuelo y me comunique con el aeropuerto me dijo que no tenían información de ningún avión hawker 800 jet, que era en el que supuestamente iba a volar ese día, yo traté de contactarme de nuevo con Mikhail Amaro, pero no me respondió, seguí tratando de comunicarme con él por algún tiempo pero no me volvió a contestar, lo conocí en una fiesta de unos amigos hace 5 meses en persona, sé que vive en Urbanización Tierra Grata Palmas, Cra. 35 #19-620, Medellín, Buenos Aires, Medellín, Antioquia. se que el se dedica a vender este tipo de vuelos incluso que maneja Airbnb, pero no tengo más información de ese negocio, desconozco que alguien cercano haya hecho algún tipo de negocio con el. También tiene una compañía en estados unidos en la dirección 2601N nob hill road, apartamento 401, sunrise, Florida, postal code 33322 .No deseo agregar nada más""Relato tomado por M.velasquez Relato tomado por M.velasquez ",,2025-02-13 03:00:00,"Antioquia, MEDELLÍN - Carrera 35 19 620, Asomadera No. 1, Medellín, Antioquia, COL,LA ASOMADERA 2",DENUNCIANTE,MITCHELL STARK,'587457746',,starkm3107@gmail.com,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,PARODRIGUEZ,
'050016000248202525671','Ley 906,111,2025-06-03 10:36:39,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? en la red social apareció una publicidad sobre ClickGreen NIT 901531994 para realizar inversiones en pro de tener ganancia y a la vez ayudar al medio ambiente, interesada investigue opiniones de otros inversionistas y parecía que si era confiable, por lo que me comunico con en ellos por la linea 320 2872617 la cual en el momento esta deshabilitada el dia 12 de agosto del 2023 para solicitar información de los proyectos vigentes y conocer un poco mas de ellos, el dia 8 de mayo de 2024 me escriben que tienen un nuevo proyecto de inversión ""bancalimentos transforma el suroeste antioqueño"" el cual me mostré interesada y decidí invertir el monto de 2.000.000 pesos el cual quedo en el contrato ""contrato G153 PM-SC1"" con pagos de la rentabilidad 20% de manera trimestral a un plazo de 2 años, se comprometieren a enviar información de los avances del proyectos pero enviaron uno que era de forma negativa el dia 9-7-2024, el dia 12-8-2024 se envia un nuevo correo indicando que debito a los resultados se pausaria de manera monetaria el proyecto para su evaluación, el 19-9-2024 se informa por correo que la coordinacion que tenia JONATAN URREGO decide pasar sus responsabilidades a JUAN DIEGO GIRALDO, el dia 7-10-2024 se informa por correo que no han podido responder ante los proyectos por situaciones personales del nuevo coordinador, el dia 6-12-2024 se envia correo que evidencia el gran numero de quejas y reclamos que han tenidos por otros inversionistas ya que tratan con el correo aclarar dudas de los procesos y ese fue el ultimo correo que se recibió de ellos, y hasta la fecha no se han pronunciado ni responde a correo o chat.",,2024-05-22 01:43:00,"Antioquia, MEDELLÍN - Carrera 90A 48E 19, Los Alcázares, Medellín, Antioquia, COL,LOS ALCÁZARES",DENUNCIANTE,YURANIS LIZETH MARTINEZ ZUÑIGA,'1040507722',,yuranislzm@gmail.com,OFRECIMIENTO DE SERVICIOS,INVERSIÓN,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES INTERNET,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
'050016000248202526053','Ley 906,111,2025-06-03 10:41:48,ESTAFA. ART. 246 C.P. MENOR CUANTIA,"¿Qué viene a denunciar? ESTAFA ¿Cómo le pasó? El dia 20 de enero del 2025 recibo una publicacion de una maquina para el gymnacio que estaba en oferta en instagram, precio normal, solicito informacion sobre le producto y evendedor que se denomina ANDRES MUÑOZ, con celular # 3124622568 y nombre de la empresa CABO SPORT, con direccion CRA18D # 59-17 de buscaramanga supuestamente, linea que sigue activa con toda la publicidad, me envia la informacion del producto, le pregunto por otros accesorios para dicha maquina y me envia toda la informacion, sin despertar ninguna sospecha, el solo me ofrece la maquina que tenia con descuento sabiendo que yo necesitaba otros equipos, solo se enfoco en cerrar el negocio de esta, cuadramos un abono inicial de $ 770.000 = sobre una maquina con el descuento de $ 1.420.000= + $ 180.000 = del envio, quedando un saldo de $ 1.010.000 = el cual se pagaria al recibirla, lo cual nunca ocurrio, el me dio una cuenta de bancolombia para el pago de dicho anticipo que ya reporte en bancolombia a nombre de LILIANA CARDONA ANGULO con CC: 1.128.624.635 CUENTA DE AHORROS 031-246225-68, dicho abono de $ 770.000 = lo hice a esta cuenta el dia 23 de enero del 2025, 3 dias despues del primer contacto y nunca me preciono para dicho proceso lo cual no me desperto ninguna sospecha, una vez hecho el anticipo me envia la infromacion del transportador (Transportadora Copetran carga Placas SYU827, Teléfono 3114659661,Conductor Carlos pórtela,Fecha de entrega 27-01-2025) al no llegar en dicha fecha contacte al vendedor y me respondio sin problemas que el producto estaba en camino lo cual nunca llego y el celular lo tiene desconectado actualmente pero con la publicidad activa Respuesta del ciudadano: 20250201 Buenos dias !!! la publicacion seria del perfil de instagram CABO SPORT (@cabosport oficial), https://www.instagram.com ¿ cabosport oficial Unica Línea 3204508826. Fabricación-Ambientación y Dotación De Gimnasios y Zonas Deportivas Referencias en toda y CEO:@ingeokav. CATÁLOGO¿ · Carrera 18D #60 ..., te comparto toda la informacion de la publicacion, salen en google como CABO SPORT, cualquier otra duda con mucho gusto la atendere.Yo ya denuncie la publicacion en instagram y la bloquearon.",,2025-01-20 06:29:00,"Antioquia, MEDELLÍN - ",DENUNCIANTE,MATEO ESTEBAN RADI VILLEGAS,'71787889',,mylavisos@gmail.com,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES INSTAGRAM,0,,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,ACTIVO,QUERELLA,MACEVEDOS1,
